2026/03/02 17:24:34.129, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:34.330, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:34.530, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:34.730, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:34.931, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:35.131, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:35.332, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:35.532, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:35.732, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:35.933, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:36.133, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:36.333, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:36.534, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:36.734, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:36.934, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:37.135, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:37.335, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:37.536, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:37.736, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:37.936, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:38.137, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:38.337, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:38.537, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:38.738, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:38.938, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:39.139, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:39.339, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:39.539, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:39.740, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:39.940, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:40.140, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:40.341, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:40.541, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:40.742, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:40.942, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:41.142, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:41.343, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:41.543, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:41.743, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:41.944, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:42.144, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:42.345, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:42.545, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:42.745, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:42.946, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:43.146, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:43.346, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:43.547, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:43.747, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:43.948, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:44.148, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:44.348, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:44.549, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:44.749, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:44.949, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:45.150, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:45.350, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:45.550, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:45.751, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:45.951, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:46.152, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
