2026/03/02 17:34:56.353, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:56.453, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:56.553, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:56.654, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:56.754, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:56.854, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:56.955, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:57.055, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:57.155, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:57.256, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:57.356, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:57.456, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:57.557, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:57.657, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:57.757, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:57.858, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:57.958, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:58.058, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:58.159, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:58.259, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:58.359, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:58.460, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:58.560, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:58.660, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:58.761, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:58.861, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:58.961, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:59.062, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:59.162, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:59.262, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:59.363, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:59.463, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:59.563, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:59.664, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:59.764, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:59.864, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:59.965, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:00.065, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:00.165, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:00.266, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:00.366, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:00.466, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:00.567, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:00.667, P0, 27.62 W, 210 MHz, 1215 MHz, 31
