2026/03/02 17:23:36.699, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:36.899, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:37.100, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:37.300, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:37.500, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:37.701, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:37.901, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:38.101, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:38.302, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:38.502, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:38.702, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:38.903, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:39.103, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:39.303, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:39.504, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:39.704, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:39.905, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:40.105, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:40.305, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:40.506, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:40.706, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:40.906, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:41.107, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:41.307, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
